utr,reference,amount,credit_date
UTR-NORM-1,STL-NORM-1,987,2026-09-04T10:00:00.000Z
UTR-NORM-2,STL-NORM-2,997,2026-09-04T10:00:00.000Z
UTR-NORM-3,STL-NORM-3,1007,2026-09-04T10:00:00.000Z
UTR-NORM-4,STL-NORM-4,1017,2026-09-04T10:00:00.000Z
UTR-NORM-5,STL-NORM-5,1026,2026-09-04T10:00:00.000Z
UTR-NORM-6,STL-NORM-6,1036,2026-09-04T10:00:00.000Z
UTR-NORM-7,STL-NORM-7,1046,2026-09-04T10:00:00.000Z
UTR-NORM-8,STL-NORM-8,1056,2026-09-04T10:00:00.000Z
UTR-NORM-9,STL-NORM-9,1066,2026-09-04T10:00:00.000Z
UTR-NORM-10,STL-NORM-10,1075,2026-09-04T10:00:00.000Z
UTR-NORM-11,STL-NORM-11,1085,2026-09-04T10:00:00.000Z
UTR-NORM-12,STL-NORM-12,1095,2026-09-04T10:00:00.000Z
UTR-NORM-13,STL-NORM-13,1105,2026-09-04T10:00:00.000Z
UTR-NORM-14,STL-NORM-14,1115,2026-09-04T10:00:00.000Z
UTR-NORM-15,STL-NORM-15,1123,2026-09-04T10:00:00.000Z
UTR-NORM-16,STL-NORM-16,1133,2026-09-04T10:00:00.000Z
UTR-NORM-17,STL-NORM-17,1143,2026-09-04T10:00:00.000Z
UTR-NORM-18,STL-NORM-18,1153,2026-09-04T10:00:00.000Z
UTR-NORM-19,STL-NORM-19,1163,2026-09-04T10:00:00.000Z
UTR-NORM-20,STL-NORM-20,1172,2026-09-04T10:00:00.000Z
UTR-NORM-21,STL-NORM-21,1182,2026-09-04T10:00:00.000Z
UTR-NORM-22,STL-NORM-22,1192,2026-09-04T10:00:00.000Z
UTR-NORM-23,STL-NORM-23,1202,2026-09-04T10:00:00.000Z
UTR-NORM-24,STL-NORM-24,1212,2026-09-04T10:00:00.000Z
UTR-NORM-25,STL-NORM-25,1221,2026-09-04T10:00:00.000Z
UTR-NORM-26,STL-NORM-26,1231,2026-09-04T10:00:00.000Z
UTR-NORM-27,STL-NORM-27,1241,2026-09-04T10:00:00.000Z
UTR-NORM-28,STL-NORM-28,1251,2026-09-04T10:00:00.000Z
UTR-NORM-29,STL-NORM-29,1261,2026-09-04T10:00:00.000Z
UTR-NORM-30,STL-NORM-30,1270,2026-09-04T10:00:00.000Z
UTR-NORM-31,STL-NORM-31,1280,2026-09-04T10:00:00.000Z
UTR-NORM-32,STL-NORM-32,1290,2026-09-04T10:00:00.000Z
UTR-NORM-33,STL-NORM-33,1300,2026-09-04T10:00:00.000Z
UTR-NORM-34,STL-NORM-34,1310,2026-09-04T10:00:00.000Z
UTR-NORM-35,STL-NORM-35,1319,2026-09-04T10:00:00.000Z
UTR-NORM-36,STL-NORM-36,1329,2026-09-04T10:00:00.000Z
UTR-NORM-37,STL-NORM-37,1339,2026-09-04T10:00:00.000Z
UTR-NORM-38,STL-NORM-38,1349,2026-09-04T10:00:00.000Z
UTR-NORM-39,STL-NORM-39,1359,2026-09-04T10:00:00.000Z
UTR-NORM-40,STL-NORM-40,1367,2026-09-04T10:00:00.000Z
UTR-NORM-41,STL-NORM-41,1377,2026-09-04T10:00:00.000Z
UTR-NORM-42,STL-NORM-42,1387,2026-09-04T10:00:00.000Z
UTR-NORM-43,STL-NORM-43,1397,2026-09-04T10:00:00.000Z
UTR-NORM-44,STL-NORM-44,1407,2026-09-04T10:00:00.000Z
UTR-NORM-45,STL-NORM-45,1416,2026-09-04T10:00:00.000Z
UTR-NORM-46,STL-NORM-46,1426,2026-09-04T10:00:00.000Z
UTR-NORM-47,STL-NORM-47,1436,2026-09-04T10:00:00.000Z
UTR-NORM-48,STL-NORM-48,1446,2026-09-04T10:00:00.000Z
UTR-NORM-49,STL-NORM-49,1456,2026-09-04T10:00:00.000Z
UTR-NORM-50,STL-NORM-50,1465,2026-09-04T10:00:00.000Z
UTR-NORM-51,STL-NORM-51,1475,2026-09-04T10:00:00.000Z
UTR-NORM-52,STL-NORM-52,1485,2026-09-04T10:00:00.000Z
UTR-NORM-53,STL-NORM-53,1495,2026-09-04T10:00:00.000Z
UTR-NORM-54,STL-NORM-54,1505,2026-09-04T10:00:00.000Z
UTR-NORM-55,STL-NORM-55,1514,2026-09-04T10:00:00.000Z
UTR-NORM-56,STL-NORM-56,1524,2026-09-04T10:00:00.000Z
UTR-NORM-57,STL-NORM-57,1534,2026-09-04T10:00:00.000Z
UTR-NORM-58,STL-NORM-58,1544,2026-09-04T10:00:00.000Z
UTR-NORM-59,STL-NORM-59,1554,2026-09-04T10:00:00.000Z
UTR-NORM-60,STL-NORM-60,1563,2026-09-04T10:00:00.000Z
UTR-NORM-61,STL-NORM-61,1573,2026-09-04T10:00:00.000Z
UTR-NORM-62,STL-NORM-62,1583,2026-09-04T10:00:00.000Z
UTR-NORM-63,STL-NORM-63,1593,2026-09-04T10:00:00.000Z
UTR-NORM-64,STL-NORM-64,1603,2026-09-04T10:00:00.000Z
UTR-NORM-65,STL-NORM-65,1612,2026-09-04T10:00:00.000Z
UTR-NORM-66,STL-NORM-66,1622,2026-09-04T10:00:00.000Z
UTR-NORM-67,STL-NORM-67,1632,2026-09-04T10:00:00.000Z
UTR-NORM-68,STL-NORM-68,1642,2026-09-04T10:00:00.000Z
UTR-NORM-69,STL-NORM-69,1652,2026-09-04T10:00:00.000Z
UTR-NORM-70,STL-NORM-70,1660,2026-09-04T10:00:00.000Z
UTR-NORM-71,STL-NORM-71,1670,2026-09-04T10:00:00.000Z
UTR-NORM-72,STL-NORM-72,1680,2026-09-04T10:00:00.000Z
UTR-NORM-73,STL-NORM-73,1690,2026-09-04T10:00:00.000Z
UTR-NORM-74,STL-NORM-74,1700,2026-09-04T10:00:00.000Z
UTR-NORM-75,STL-NORM-75,1709,2026-09-04T10:00:00.000Z
UTR-NORM-76,STL-NORM-76,1719,2026-09-04T10:00:00.000Z
UTR-NORM-77,STL-NORM-77,1729,2026-09-04T10:00:00.000Z
UTR-NORM-78,STL-NORM-78,1739,2026-09-04T10:00:00.000Z
UTR-NORM-79,STL-NORM-79,1749,2026-09-04T10:00:00.000Z
UTR-NORM-80,STL-NORM-80,1758,2026-09-04T10:00:00.000Z
UTR-NORM-81,STL-NORM-81,1768,2026-09-04T10:00:00.000Z
UTR-NORM-82,STL-NORM-82,1778,2026-09-04T10:00:00.000Z
UTR-NORM-83,STL-NORM-83,1788,2026-09-04T10:00:00.000Z
UTR-NORM-84,STL-NORM-84,1798,2026-09-04T10:00:00.000Z
UTR-NORM-85,STL-NORM-85,1807,2026-09-04T10:00:00.000Z
UTR-NORM-86,STL-NORM-86,1817,2026-09-04T10:00:00.000Z
UTR-NORM-87,STL-NORM-87,1827,2026-09-04T10:00:00.000Z
UTR-NORM-88,STL-NORM-88,1837,2026-09-04T10:00:00.000Z
UTR-NORM-89,STL-NORM-89,1847,2026-09-04T10:00:00.000Z
UTR-NORM-90,STL-NORM-90,1856,2026-09-04T10:00:00.000Z
UTR-NORM-91,STL-NORM-91,1866,2026-09-04T10:00:00.000Z
UTR-NORM-92,STL-NORM-92,1876,2026-09-04T10:00:00.000Z
UTR-NORM-93,STL-NORM-93,1886,2026-09-04T10:00:00.000Z
UTR-NORM-94,STL-NORM-94,1896,2026-09-04T10:00:00.000Z
UTR-NORM-95,STL-NORM-95,1904,2026-09-04T10:00:00.000Z
UTR-NORM-96,STL-NORM-96,1914,2026-09-04T10:00:00.000Z
UTR-NORM-97,STL-NORM-97,1924,2026-09-04T10:00:00.000Z
UTR-NORM-98,STL-NORM-98,1934,2026-09-04T10:00:00.000Z
UTR-NORM-99,STL-NORM-99,1944,2026-09-04T10:00:00.000Z
UTR-NORM-100,STL-NORM-100,977,2026-09-04T10:00:00.000Z
UTR-NORM-101,STL-NORM-101,987,2026-09-04T10:00:00.000Z
UTR-NORM-102,STL-NORM-102,997,2026-09-04T10:00:00.000Z
UTR-NORM-103,STL-NORM-103,1007,2026-09-04T10:00:00.000Z
UTR-NORM-104,STL-NORM-104,1017,2026-09-04T10:00:00.000Z
UTR-NORM-105,STL-NORM-105,1026,2026-09-04T10:00:00.000Z
UTR-NORM-106,STL-NORM-106,1036,2026-09-04T10:00:00.000Z
UTR-NORM-107,STL-NORM-107,1046,2026-09-04T10:00:00.000Z
UTR-NORM-108,STL-NORM-108,1056,2026-09-04T10:00:00.000Z
UTR-NORM-109,STL-NORM-109,1066,2026-09-04T10:00:00.000Z
UTR-NORM-110,STL-NORM-110,1075,2026-09-04T10:00:00.000Z
UTR-NORM-111,STL-NORM-111,1085,2026-09-04T10:00:00.000Z
UTR-NORM-112,STL-NORM-112,1095,2026-09-04T10:00:00.000Z
UTR-NORM-113,STL-NORM-113,1105,2026-09-04T10:00:00.000Z
UTR-NORM-114,STL-NORM-114,1115,2026-09-04T10:00:00.000Z
UTR-NORM-115,STL-NORM-115,1123,2026-09-04T10:00:00.000Z
UTR-NORM-116,STL-NORM-116,1133,2026-09-04T10:00:00.000Z
UTR-NORM-117,STL-NORM-117,1143,2026-09-04T10:00:00.000Z
UTR-NORM-118,STL-NORM-118,1153,2026-09-04T10:00:00.000Z
UTR-NORM-119,STL-NORM-119,1163,2026-09-04T10:00:00.000Z
UTR-NORM-120,STL-NORM-120,1172,2026-09-04T10:00:00.000Z
UTR-NORM-121,STL-NORM-121,1182,2026-09-04T10:00:00.000Z
UTR-NORM-122,STL-NORM-122,1192,2026-09-04T10:00:00.000Z
UTR-NORM-123,STL-NORM-123,1202,2026-09-04T10:00:00.000Z
UTR-NORM-124,STL-NORM-124,1212,2026-09-04T10:00:00.000Z
UTR-NORM-125,STL-NORM-125,1221,2026-09-04T10:00:00.000Z
UTR-NORM-126,STL-NORM-126,1231,2026-09-04T10:00:00.000Z
UTR-NORM-127,STL-NORM-127,1241,2026-09-04T10:00:00.000Z
UTR-NORM-128,STL-NORM-128,1251,2026-09-04T10:00:00.000Z
UTR-NORM-129,STL-NORM-129,1261,2026-09-04T10:00:00.000Z
UTR-NORM-130,STL-NORM-130,1270,2026-09-04T10:00:00.000Z
UTR-NORM-131,STL-NORM-131,1280,2026-09-04T10:00:00.000Z
UTR-NORM-132,STL-NORM-132,1290,2026-09-04T10:00:00.000Z
UTR-NORM-133,STL-NORM-133,1300,2026-09-04T10:00:00.000Z
UTR-NORM-134,STL-NORM-134,1310,2026-09-04T10:00:00.000Z
UTR-NORM-135,STL-NORM-135,1319,2026-09-04T10:00:00.000Z
UTR-NORM-136,STL-NORM-136,1329,2026-09-04T10:00:00.000Z
UTR-NORM-137,STL-NORM-137,1339,2026-09-04T10:00:00.000Z
UTR-NORM-138,STL-NORM-138,1349,2026-09-04T10:00:00.000Z
UTR-NORM-139,STL-NORM-139,1359,2026-09-04T10:00:00.000Z
UTR-NORM-140,STL-NORM-140,1367,2026-09-04T10:00:00.000Z
UTR-NORM-141,STL-NORM-141,1377,2026-09-04T10:00:00.000Z
UTR-NORM-142,STL-NORM-142,1387,2026-09-04T10:00:00.000Z
UTR-NORM-143,STL-NORM-143,1397,2026-09-04T10:00:00.000Z
UTR-NORM-144,STL-NORM-144,1407,2026-09-04T10:00:00.000Z
UTR-NORM-145,STL-NORM-145,1416,2026-09-04T10:00:00.000Z
UTR-NORM-146,STL-NORM-146,1426,2026-09-04T10:00:00.000Z
UTR-NORM-147,STL-NORM-147,1436,2026-09-04T10:00:00.000Z
